338,178
338,200
340,220
344,240
349,259
358,277
371,292
386,305
404,310
426,309
450,301
471,289
490,274
501,253
505,229
507,204
507,180
342,164
347,150
361,144
375,146
391,151
418,152
435,146
454,144
472,150
482,165
404,170
403,185
402,200
401,216
386,227
394,229
404,232
414,229
425,226
358,173
366,167
377,166
386,175
376,177
366,176
430,175
439,167
451,167
461,173
451,177
440,177
377,252
388,249
398,247
407,249
415,247
427,248
442,249
428,256
416,260
407,261
398,261
388,258
382,252
398,253
406,254
414,253
438,249
415,250
407,252
398,251
