2027,1061
2031,1091
2039,1123
2048,1155
2062,1185
2080,1212
2102,1233
2128,1251
2159,1252
2191,1244
2221,1224
2249,1200
2270,1172
2285,1139
2291,1102
2288,1064
2283,1026
2033,1032
2039,1015
2057,1008
2077,1007
2097,1013
2133,999
2154,985
2178,978
2202,980
2223,993
2117,1033
2118,1056
2118,1079
2119,1103
2105,1119
2117,1123
2130,1125
2144,1118
2158,1110
2058,1051
2068,1042
2082,1039
2097,1047
2085,1050
2071,1053
2159,1032
2169,1021
2182,1017
2195,1021
2186,1026
2173,1030
2106,1167
2114,1155
2127,1149
2138,1149
2151,1145
2171,1145
2194,1150
2177,1167
2160,1175
2146,1178
2134,1180
2120,1179
2112,1166
2129,1155
2140,1154
2154,1150
2187,1151
2157,1163
2143,1166
2131,1167
