80,302
77,337
78,373
83,411
91,448
108,485
127,519
148,549
181,561
221,560
263,543
302,519
335,488
357,450
369,406
374,360
380,314
80,275
94,264
115,267
135,277
156,288
202,293
231,285
263,284
294,289
319,305
176,313
171,343
166,372
161,402
140,409
152,419
167,426
187,421
206,416
105,303
118,295
136,299
153,313
133,312
116,310
226,322
243,312
263,314
283,324
263,327
243,326
130,449
141,442
158,440
174,446
193,442
222,447
248,458
222,482
194,493
173,493
156,488
141,474
138,451
157,450
173,454
193,453
238,458
194,471
174,472
157,466
