704,103
703,120
703,137
704,155
709,172
718,188
728,203
740,216
754,222
768,221
783,211
797,200
811,187
820,172
826,155
831,137
834,120
717,102
725,97
736,97
746,99
756,103
780,106
791,104
803,106
813,110
822,116
766,117
764,129
762,141
760,153
748,154
753,158
759,162
766,161
773,159
729,110
736,108
743,110
749,114
742,114
735,113
784,119
791,116
798,118
805,121
798,122
790,121
733,169
743,170
752,171
758,173
765,173
775,176
784,178
773,190
763,195
755,194
748,192
740,184
737,172
751,174
758,176
765,176
780,179
764,185
756,185
750,182
