420,245
420,272
420,300
421,327
427,356
442,380
463,401
485,418
511,425
539,424
565,411
589,395
608,373
619,347
626,320
632,291
637,262
443,239
456,225
475,219
496,220
515,228
542,228
562,224
584,227
603,238
615,253
525,255
523,272
521,288
519,306
497,317
507,323
517,327
529,325
540,322
466,252
479,246
494,247
504,258
492,260
477,258
551,263
567,254
581,254
591,263
580,267
565,266
480,353
494,346
507,343
516,347
526,346
539,352
553,361
538,372
524,377
513,377
503,374
491,366
486,354
506,353
515,355
526,356
546,360
524,360
514,361
505,358
