40,295
25,340
14,386
4,432
1,477
12,522
31,562
57,595
94,615
139,621
186,611
227,594
262,569
293,540
319,506
341,470
360,431
79,290
106,277
138,281
167,295
190,317
241,342
272,341
303,349
327,369
336,395
203,368
192,399
182,429
171,460
127,460
140,474
155,486
174,488
191,487
102,327
123,326
143,336
155,356
135,351
114,343
237,390
262,384
283,393
295,410
276,409
256,401
84,499
110,501
131,507
141,518
158,521
175,535
188,551
160,556
136,553
120,547
107,538
93,521
93,503
124,521
135,529
151,534
178,547
146,533
130,528
118,520
