87,173
91,188
96,203
102,218
109,232
118,245
128,255
141,262
155,262
170,258
183,247
194,233
202,218
206,201
207,183
206,165
204,147
86,166
91,157
100,155
111,156
121,160
138,154
149,146
161,141
175,140
187,145
132,167
133,179
134,191
135,203
127,209
133,211
140,212
147,208
153,205
99,173
104,168
112,167
120,171
113,174
105,176
151,164
158,156
167,154
175,156
170,162
161,164
124,231
131,228
138,225
143,226
150,223
159,224
170,223
162,233
153,238
146,240
139,240
132,239
127,231
138,230
144,230
151,229
166,225
151,230
144,231
138,232
